product,description,hours,start,end,USD
Droplets,wolna-hotel (s-1vcpu-2gb),413,2018-10-01 00:00:00 +0000,2018-10-18 04:52:24 +0000,$6.15
Taxes,VAT Poland,,2018-10-01 00:00:00 +0000,2018-10-31 23:59:59 +0000,$1.41
